28,28.00,22.30,21.32,2379,1.92
33,29.00,22.50,21.56,2378,1.92
38,29.00,22.50,21.56,2378,1.92
28,28.00,22.30,21.32,2379,1.92
33,29.00,22.50,21.56,2378,1.92
38,29.00,22.50,21.56,2378,1.92
43,29.00,22.50,21.56,2381,1.92
48,30.00,22.50,21.59,2381,1.92
53,29.00,22.50,21.56,2387,1.92
58,30.00,22.50,21.59,2385,1.92
63,30.00,22.50,21.59,2387,1.92
68,29.00,22.50,21.56,2386,1.92
73,29.00,22.50,21.56,2385,1.92
78,29.00,22.50,21.56,2385,1.92
83,29.00,22.50,21.56,2386,1.92
88,29.00,22.50,21.56,2387,1.92
93,29.00,22.50,21.56,2384,1.92
98,29.00,22.50,21.56,2386,1.92
103,29.00,22.50,21.56,2387,1.92
108,29.00,22.50,21.56,2387,1.92
113,29.00,22.50,21.56,2385,1.92
118,29.00,22.50,21.56,2385,1.92
123,29.00,22.50,21.56,2386,1.92
